id,gcontext,context,sandstone,shale,wrpebble,material,asymmetric,oval,round,shape,size1,size2,size3,size4,size5,size,t1a,t1b,t1c,t1d,t1e,t1f,t1g,t1h,t1i,t1j,t1k,t2a,t2b,t2c,t2d,t3a,t3b,t3c,t3d,t3e,t3f
199,XIV,XIV,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202,XIV,XIV,0,1,0,shale,0,0,1,round,1,0,0,0,0,size1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,XIV,XIV,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
214,XIV,XIV,0,1,0,shale,0,1,0,oval,0,1,0,0,0,size2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,XIV,XIV,0,1,0,shale,1,0,0,asymm,1,0,0,0,0,size1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
216,XIV,XIV,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
220,XIV,XIV,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
225,XIV,XIV,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
230,XIV,XIV,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,XIV,XIV.1,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,XIV,XIV.2,0,0,1,wrpebble,1,0,0,asymm,0,0,1,0,0,size3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,XIV,XIV.2,0,1,0,shale,0,0,1,round,1,0,0,0,0,size1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
21,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
27,XIV,XIV.2,0,1,0,shale,0,1,0,oval,0,1,0,0,0,size2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,XIV,XIV.2,0,1,0,shale,0,1,0,oval,0,1,0,0,0,size2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,XIV,XIV.2,1,0,0,sandstone,0,0,1,round,0,0,0,1,0,size4,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
40,XIV,XIV.2,0,1,0,shale,0,1,0,oval,0,0,1,0,0,size3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
98,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,0,1,0,0,size3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
278,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,1,0,0,0,0,size1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,1,0,0,0,size2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
285,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
459,XIV,XIV.2,0,1,0,shale,0,1,0,oval,0,1,0,0,0,size2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
461,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
472,XIV,XIV.2,0,1,0,shale,1,0,0,asymm,0,1,0,0,0,size2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,XIV,XIV.2,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,XIV,XIV.2,0,1,0,shale,0,1,0,oval,0,1,0,0,0,size2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,XXII,XXII,0,0,1,wrpebble,1,0,0,asymm,0,0,1,0,0,size3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,XXIV,XXIV.1,0,1,0,shale,0,0,1,round,0,0,1,0,0,size3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
476,XXIV,XXIV.4,0,1,0,shale,0,1,0,oval,0,0,1,0,0,size3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
