id,asymmetric,oval,round,shape,t1a,t1b,t1c,t1d,t1e,t1f,t1g,t1h,t1i,t1j,t1k,t2a,t2b,t2c,t2d,t3a,t3b,t3c,t3d,t3e,t3f
6307,0,1,0,oval,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6310,0,0,1,round,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6322,0,1,0,oval,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6330,0,0,1,round,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6331,0,0,1,round,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6338,0,1,0,oval,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
6343,1,0,0,asymm,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6369,1,0,0,asymm,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6374,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6378,0,0,1,round,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6384,0,0,1,round,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1536_7,0,0,1,round,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1545A,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694_1,0,0,1,round,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2702_2,1,0,0,asymm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2715_1,0,0,1,round,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2715_2,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3275_1,0,0,1,round,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3282_1,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328_4,1,0,0,asymm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530B,0,0,1,round,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
XXXX,1,0,0,asymm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
